Symbol	Species
AIFM1	homo sapiens
AK2	homo sapiens
ANP32A	homo sapiens
APAF1	homo sapiens
AVEN	homo sapiens
BAD	homo sapiens
BAK1	homo sapiens
BAX	homo sapiens
BBC3	homo sapiens
BCL2	homo sapiens
BCL2A1	homo sapiens
BCL2L1	homo sapiens
BCL2L10	homo sapiens
BCL2L11	homo sapiens
BCL2L12	homo sapiens
BCL2L13	homo sapiens
BCL2L14	homo sapiens
BCL2L2	homo sapiens
BECN1	homo sapiens
BID	homo sapiens
BIK	homo sapiens
BIRC1	homo sapiens
BIRC2	homo sapiens
BIRC3	homo sapiens
BMF	homo sapiens
BNIP3	homo sapiens
BNIP3L	homo sapiens
BOK	homo sapiens
CASP1	homo sapiens
CASP10	homo sapiens
CASP12	homo sapiens
CASP14	homo sapiens
CASP2	homo sapiens
CASP3	homo sapiens
CASP4	homo sapiens
CASP5	homo sapiens
CASP6	homo sapiens
CASP7	homo sapiens
CASP8	homo sapiens
CASP9	homo sapiens
CFLAR	homo sapiens
CRADD	homo sapiens
CSE1L	homo sapiens
CYCS	homo sapiens
CYLD	homo sapiens
DIABLO	homo sapiens
ENDOG	homo sapiens
FADD	homo sapiens
FAS	homo sapiens
FASLG	homo sapiens
GAPDH	homo sapiens
HRK	homo sapiens
HTRA2	homo sapiens
PIDD	homo sapiens
MALT1	homo sapiens
MAPK8	homo sapiens
MCL1	homo sapiens
MOAP1	homo sapiens
MYD88	homo sapiens
NLRP1	homo sapiens
NLRP3	homo sapiens
NOL3	homo sapiens
OPA1	homo sapiens
PMAIP1	homo sapiens
PYCARD	homo sapiens
RIPK1	homo sapiens
RIPK3	homo sapiens
SH3GLB1	homo sapiens
TNF	homo sapiens
TNFRSF10A	homo sapiens
TNFRSF10B	homo sapiens
TNFRSF10C	homo sapiens
TNFRSF10D	homo sapiens
TNFRSF1A	homo sapiens
TNFRSF1B	homo sapiens
TNFSF10	homo sapiens
TP53	homo sapiens
TRADD	homo sapiens
TRAF1	homo sapiens
TRAF2	homo sapiens
XAF1	homo sapiens
XIAP	homo sapiens
AIF	homo sapiens
AIFM1	mus musculus
ANXA1	homo sapiens
ANXA1	mus musculus
APAF1	mus musculus
ARC	homo sapiens
ARD1	drosophila melanogaster
ARK	drosophila melanogaster
ATG1	drosophila melanogaster
ATG18	drosophila melanogaster
ATG2	drosophila melanogaster
ATG8A	drosophila melanogaster
BAD	danio rerio
BAD	mus musculus
BAK1	mus musculus
BAX	mus musculus
BAXA	danio rerio
BAXB	danio rerio
BBC3	mus musculus
BCL2	danio rerio
BCL2	mus musculus
BCL2A1A	mus musculus
BCL2L	danio rerio
BCL2L1	mus musculus
BCL2L10	mus musculus
BCL2L11	mus musculus
BCL2L2	mus musculus
BID	mus musculus
BIDA	danio rerio
BIK	danio rerio
BIK	mus musculus
BIRC2	danio rerio
BIRC5	homo sapiens
BIRC5	mus musculus
BMF	mus musculus
BMF1	danio rerio
BMF2	danio rerio
BNIP3	mus musculus
BNIP3L	mus musculus
BOK	mus musculus
BOKA	danio rerio
BOKB	danio rerio
BRUCE	drosophila melanogaster
