Symbol	NCBI_TaxID
AIFM1	9606
AK2	9606
ANP32A	9606
APAF1	9606
AVEN	9606
BAD	9606
BAK1	9606
BAX	9606
BBC3	9606
BCL2	9606
BCL2A1	9606
BCL2L1	9606
BCL2L10	9606
BCL2L11	9606
BCL2L12	9606
BCL2L13	9606
BCL2L14	9606
BCL2L2	9606
BECN1	9606
BID	9606
BIK	9606
BIRC1	9606
BIRC2	9606
BIRC3	9606
BMF	9606
BNIP3	9606
BNIP3L	9606
BOK	9606
CASP1	9606
CASP10	9606
CASP12	9606
CASP14	9606
CASP2	9606
CASP3	9606
CASP4	9606
CASP5	9606
CASP6	9606
CASP7	9606
CASP8	9606
CASP9	9606
CFLAR	9606
CRADD	9606
CSE1L	9606
CYCS	9606
CYLD	9606
DIABLO	9606
ENDOG	9606
FADD	9606
FAS	9606
FASLG	9606
GAPDH	9606
HRK	9606
HTRA2	9606
PIDD	9606
MALT1	9606
MAPK8	9606
MCL1	9606
MOAP1	9606
MYD88	9606
NLRP1	9606
NLRP3	9606
NOL3	9606
OPA1	9606
PMAIP1	9606
PYCARD	9606
RIPK1	9606
RIPK3	9606
SH3GLB1	9606
TNF	9606
TNFRSF10A	9606
TNFRSF10B	9606
TNFRSF10C	9606
TNFRSF10D	9606
TNFRSF1A	9606
TNFRSF1B	9606
TNFSF10	9606
TP53	9606
TRADD	9606
TRAF1	9606
TRAF2	9606
XAF1	9606
XIAP	9606
AIF	9606
AIFM1	10090
ANXA1	9606
ANXA1	10090
APAF1	10090
ARC	9606
ARD1	7227
ARK	7227
ATG1	7227
ATG18	7227
ATG2	7227
ATG8A	7227
BAD	7955
BAD	10090
BAK1	10090
BAX	10090
BAXA	7955
BAXB	7955
BBC3	10090
BCL2	7955
BCL2	10090
BCL2A1A	10090
BCL2L	7955
BCL2L1	10090
BCL2L10	10090
BCL2L11	10090
BCL2L2	10090
BID	10090
BIDA	7955
BIK	7955
BIK	10090
BIRC2	7955
BIRC5	9606
BIRC5	10090
BMF	10090
BMF1	7955
BMF2	7955
BNIP3	10090
BNIP3L	10090
BOK	10090
BOKA	7955
BOKB	7955
BRUCE	7227
BSK	7227
BUFFY	7227
CALR	9606
CALR	10090
CASP2	7955
CASP2	10090
CASP3	10090
CASP3A	7955
CASP3B	7955
CASP6	10090
CASP7	10090
CASP8	7955
CASP8	10090
CASP8L2	7955
CASP9	10090
CASPASE-14	9606
CASPASE-14	10090
CD36	10090
CED-1	6239
CED-3	6239
CED-4	6239
CED-8	6239
CED-9	6239
CEP-1	6239
CFLAR	7955
CFLAR	10090
CIAP1	9606
CRC	7227
CSP-3	6239
CYCS	10090
CYLD	10090
CYT-C-D	7227
CYTOCHROME C	9606
DAMM	7227
DCP-1	7227
DCT-1	6239
DEBCL	7227
DECAY	7227
DIABLO	10090
DP5	10090
DREAM	7227
DRPR	7227
EGL-1	6239
EGR	7227
FADD	7955
FADD	10090
FAS	7955
FAS	10090
FASL	9606
FASL	10090
FASLG	7955
GRIM	7227
